MSOA21CD,prop_soc1,prop_soc2,prop_soc3,prop_soc4,prop_soc5,prop_soc6,prop_soc7,prop_soc8,prop_soc9
E02000001,0.20650953984287318,0.4393939393939394,0.19210624766180323,0.04994388327721661,0.018144407033295923,0.02843247287691732,0.022820800598578377,0.00935278713056491,0.033295922184811075
E02000002,0.08549382716049382,0.16450617283950617,0.09506172839506173,0.09197530864197531,0.12777777777777777,0.11666666666666667,0.07839506172839507,0.09259259259259259,0.14753086419753086
E02000003,0.09774723176785033,0.17411225658648338,0.10290187094310806,0.10824742268041238,0.11072928598701795,0.0990836197021764,0.0815196639938908,0.08285605192821688,0.14280259641084384
E02000004,0.08413615928066795,0.19717405266538215,0.1123956326268465,0.11014771997430957,0.1252408477842004,0.09698137443802184,0.06936416184971098,0.0899165061014772,0.11464354527938343
E02000005,0.08881578947368421,0.1611842105263158,0.10464638157894737,0.09601151315789473,0.1147203947368421,0.11554276315789473,0.08922697368421052,0.0923108552631579,0.13754111842105263
E02000007,0.07050831576481612,0.1604591239166081,0.09580698055750761,0.08948231435933474,0.1061138439915671,0.1342234715390021,0.08573436401967674,0.08948231435933474,0.16818927149215274
E02000008,0.08279249254516752,0.13295912997719697,0.0938431854060691,0.0826170847219786,0.1306788282757411,0.11997895106121734,0.08963339764953517,0.0998070513944922,0.167689878968602
E02000009,0.07676730486008837,0.148379970544919,0.09849042709867452,0.0937039764359352,0.11671575846833579,0.1132179675994109,0.08541973490427099,0.09720176730486009,0.17010309278350516
E02000010,0.07185062632947294,0.14724651382651854,0.08815882770030725,0.09430394705743324,0.1375561333018199,0.12621129756558733,0.07563223824155046,0.08934058142283148,0.16969983455447885
E02000011,0.08260729267505647,0.14649887060342046,0.0968054211035818,0.09261051952242659,0.1313326879638593,0.11068086479509519,0.07034527266860277,0.1122942884801549,0.15682478218780252
E02000012,0.11206210191082802,0.20203025477707007,0.11106687898089172,0.11624203821656051,0.08857484076433121,0.09175955414012739,0.08121019108280254,0.09753184713375797,0.09952229299363058
E02000013,0.07513729405891163,0.1432850723914129,0.09111333000499251,0.08836744882675986,0.1293060409385921,0.13030454318522217,0.08487269096355467,0.09685471792311533,0.16075886170743883
E02000014,0.07366020524515393,0.1265678449258837,0.08483466362599772,0.08597491448118585,0.13591790193842646,0.12702394526795896,0.08095781071835804,0.1017103762827822,0.18335233751425314
E02000015,0.07262888066078041,0.15066932497863855,0.09626886926801481,0.08145827399601253,0.10253489034463116,0.14098547422386784,0.08202791227570493,0.10880091142124751,0.16462546283110224
E02000016,0.07496153000659486,0.20488019344910968,0.10419872499450429,0.07869861508023741,0.08177621455264894,0.11299186634425148,0.08463398549131677,0.07803912947900637,0.1798197406023302
E02000017,0.08309248554913294,0.1529383429672447,0.09730250481695568,0.08309248554913294,0.13391136801541426,0.08405587668593449,0.08285163776493257,0.09754335260115607,0.18521194605009633
E02000018,0.07973921765295888,0.1354062186559679,0.09127382146439318,0.08801404212637914,0.1376629889669007,0.1283851554663992,0.07973921765295888,0.09453360080240722,0.1652457372116349
E02000019,0.09152215799614644,0.16329479768786126,0.08863198458574181,0.09128131021194605,0.11608863198458574,0.11681117533718689,0.07779383429672447,0.10211946050096339,0.15245664739884393
E02000020,0.08598369825795109,0.1839539715518619,0.1019657983058974,0.0915774332747323,0.11267380533802142,0.09365510628096532,0.08502477225507432,0.09077832827233498,0.15438708646316127
E02000021,0.07231516459794927,0.13707501349163517,0.08526713437668645,0.09821910415542363,0.11386940097139774,0.13761467889908258,0.0806799784133837,0.09740960604425257,0.17754991905018888
